ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-11-12 14:47:47

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,9639.785566
total_histeresis_area_keithley,0.002881
num_cycles_analyzed,4
average_area_per_cycle,2409.946391
average_area_per_cycle_keithley,0.000720
cycle_areas,"['2742.870800', '2642.949682', '1113.240497', '3140.724587']"
cycle_areas_keithley,"['0.000717', '0.000863', '0.000358', '0.000943']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Raw (V),Tipo
4,Bajada,-1.760570,3.922,,KEITHLEY
4,Bajada,-1.758638,5.883,,KEITHLEY
4,Bajada,-1.756710,7.845,,KEITHLEY
4,Bajada,-1.754755,9.806,,KEITHLEY
4,Bajada,-1.752864,11.767,,KEITHLEY

DATOS DE HISTÉRESIS (Interpolados)
Bajada (V),Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida KEITHLEY (V),Tipo
-5923134.801444,-1.763939,1,563.047014,Histéresis,0.0,-5922571.754430,-1.763773,Histéresis
-5916626.345745,-1.762000,1,309.951078,Histéresis,1.961,-5916316.394667,-1.761919,Histéresis
-5910010.420213,-1.760022,1,139.193546,Histéresis,3.922,-5909871.226667,-1.759992,Histéresis
-5897018.097113,-1.756154,1,286.289507,Histéresis,7.845,-5896731.807606,-1.756080,Histéresis
-5890605.448549,-1.754246,1,161.998684,Histéresis,9.806,-5890443.449864,-1.754205,Histéresis
-5884126.616622,-1.752324,1,13.807831,Histéresis,11.767,-5884112.808791,-1.752317,Histéresis
-5924081.826633,-1.764239,2,700.352006,Histéresis,0.0,-5923381.474627,-1.764024,Histéresis
-5917547.326203,-1.762292,2,433.630436,Histéresis,1.961,-5917113.695767,-1.762142,Histéresis
-5910938.248021,-1.760325,2,46.778364,Histéresis,3.922,-5910891.469657,-1.760286,Histéresis
-5897989.970822,-1.756465,2,111.309532,Histéresis,7.845,-5897878.661290,-1.756442,Histéresis
