Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
0,0.000744,-133781752.000000,914598.000
1,0.002586,-134690080.000000,914598.000
2,0.004629,-135287152.000000,915225.000
3,0.006696,-135670848.000000,915225.000
4,0.008771,-136482992.000000,915330.000
5,0.010639,-137870272.000000,915330.000
6,0.012738,-138849680.000000,916120.000
7,0.014712,-139411120.000000,916120.000
8,0.016901,-139866960.000000,914741.000
9,0.019039,-140432320.000000,914741.000
10,0.020946,-140669280.000000,915701.000
11,0.022622,-140612512.000000,921202.000
12,0.025155,-140722768.000000,921202.000
13,0.028078,-140883072.000000,918764.000
14,0.030155,-141008784.000000,918764.000
15,0.031950,-141077248.000000,919513.000
16,0.033753,-141119168.000000,919513.000
17,0.035979,-141143840.000000,922100.000
18,0.052283,-141156624.000000,922100.000
19,0.054425,-141294784.000000,922457.000
20,0.057020,-141256016.000000,922457.000
21,0.059436,-141044208.000000,917482.000
22,0.061704,-140902288.000000,917482.000
23,0.064003,-139365152.000000,921502.000
24,0.066418,-135895920.000000,921502.000
25,0.068771,-131129208.000000,923805.000
26,0.071244,-126087768.000000,923805.000
27,0.073823,-122045096.000000,925059.000
28,0.075861,-118786432.000000,925059.000
29,0.078389,-115456968.000000,925203.000
30,0.080893,-111865728.000000,925203.000
31,0.083185,-110481264.000000,925219.000
32,0.085601,-112817040.000000,925219.000
33,0.087579,-116944104.000000,924892.000
34,0.089436,-121051600.000000,924828.000
35,0.091157,-124627344.000000,924828.000
36,0.092887,-127693544.000000,923764.000
37,0.094917,-130310704.000000,923764.000
38,0.096841,-132418448.000000,923289.000
39,0.098842,-133789216.000000,923289.000
40,0.106339,-134639008.000000,924096.000
41,0.158444,-135251040.000000,924096.000
42,0.210648,-135926112.000000,924085.000
43,0.262864,-136982352.000000,924085.000
44,0.315021,-138176000.000000,924935.000
45,0.366997,-138994016.000000,924935.000
46,0.419303,-139436016.000000,924613.000
47,0.471530,-139822800.000000,924613.000
48,0.523448,-140144352.000000,924788.000
49,0.575692,-140396048.000000,924788.000
50,0.627797,-140628624.000000,925168.000
51,0.680088,-140751584.000000,925168.000
52,0.732234,-140792480.000000,924881.000
53,0.784457,-140860640.000000,924881.000
54,0.836489,-140947952.000000,925380.000
55,0.888373,-141014048.000000,925380.000
56,0.940845,-141023024.000000,924093.000
57,0.992952,-141011920.000000,924015.000
58,1.045089,-140995648.000000,924015.000
59,1.096969,-140964896.000000,923969.000
60,1.149006,-140928480.000000,923969.000
61,1.201231,-140435840.000000,923462.000
62,1.253671,-138568704.000000,923462.000
63,1.305509,-134689856.000000,924191.000
64,1.357645,-129549008.000000,924191.000
65,1.410038,-124774032.000000,925467.000
66,1.462059,-121055168.000000,925467.000
67,1.514301,-117768416.000000,925914.000
68,1.566199,-114387592.000000,925914.000
69,1.618468,-111270448.000000,926972.000
70,1.670705,-111008088.000000,926972.000
71,1.722812,-114174008.000000,926198.000
72,1.774887,-118275720.000000,926198.000
73,1.826888,-122178832.000000,925573.000
74,1.879134,-125555616.000000,925573.000
75,1.931115,-128453536.000000,925490.000
76,1.983169,-130959888.000000,925490.000
77,2.035255,-132895752.000000,925074.000
78,2.087623,-134069176.000000,925074.000
79,2.140035,-134791280.000000,923679.000
80,2.191954,-135337936.000000,923784.000
81,2.244298,-136125728.000000,923784.000
82,2.296137,-137297184.000000,923200.000
83,2.348316,-138433200.000000,923200.000
84,2.400467,-139113440.000000,923125.000
85,2.452689,-139454208.000000,923125.000
86,2.504643,-139792432.000000,924328.000
87,2.556793,-140105648.000000,924328.000
88,2.608759,-140338032.000000,924748.000
89,2.661212,-140543888.000000,924748.000
90,2.713414,-140698224.000000,923710.000
91,2.817485,-140928064.000000,923879.000
92,2.869605,-141045040.000000,923879.000
93,2.921915,-141116048.000000,923863.000
94,2.973930,-141131072.000000,923863.000
95,3.025999,-141106848.000000,922932.000
96,3.078110,-141069344.000000,922932.000
97,3.130517,-140987488.000000,923058.000
98,3.182670,-140910224.000000,923058.000
99,3.234438,-140027264.000000,923677.000
100,3.286845,-137804528.000000,923889.000
101,3.339006,-133617504.000000,923889.000
102,3.391105,-128159376.000000,924561.000
103,3.443267,-123672440.000000,924561.000
104,3.495167,-120269200.000000,924944.000
105,3.547234,-117073936.000000,924944.000
106,3.599471,-113669512.000000,925219.000
107,3.651483,-110927752.000000,925219.000
108,3.703601,-111586440.000000,924910.000
109,3.755807,-115407072.000000,924910.000
110,3.808009,-119452200.000000,924769.000
111,3.860034,-122991440.000000,924769.000
112,3.912372,-126172408.000000,925576.000
113,3.964653,-128965848.000000,925576.000
114,4.016523,-131394024.000000,925559.000
115,4.068837,-133142920.000000,925559.000
116,4.120766,-134139520.000000,925227.000
117,4.173197,-134888064.000000,925227.000
118,4.225133,-135407536.000000,924290.000
119,4.277358,-136436864.000000,924290.000
120,4.329378,-137681760.000000,924077.000
121,4.381487,-138482128.000000,924077.000
122,4.433633,-139167312.000000,923512.000
123,4.485956,-139706160.000000,913108.000
124,4.538097,-140144512.000000,913108.000
125,4.590243,-140454512.000000,911834.000
126,4.642193,-140667392.000000,911834.000
127,4.695014,-140826384.000000,912479.000
128,4.746335,-140870720.000000,912479.000
129,4.798567,-140736640.000000,912611.000
130,4.850705,-140727840.000000,912611.000
131,4.902805,-140879040.000000,912907.000
132,4.954972,-140954320.000000,912907.000
133,5.007010,-140995728.000000,911462.000
134,5.059253,-141030016.000000,911462.000
135,5.111369,-141026224.000000,910413.000
136,5.163537,-140981024.000000,910413.000
137,5.215556,-140922064.000000,912482.000
138,5.267878,-139688720.000000,912482.000
139,5.319844,-136798640.000000,913533.000
140,5.372201,-132364456.000000,913533.000
141,5.424886,-127134816.000000,914012.000
142,5.476542,-122919848.000000,914012.000
143,5.528646,-119702776.000000,915348.000
144,5.580703,-116485648.000000,915348.000
145,5.632834,-113006408.000000,914504.000
146,5.684920,-111019048.000000,914684.000
147,5.736869,-112557424.000000,914684.000
148,5.789328,-116410032.000000,914761.000
149,5.841164,-120455632.000000,914761.000
150,5.893606,-124275912.000000,912094.000
151,5.945550,-127379616.000000,912094.000
152,5.997741,-129766904.000000,911846.000
153,6.049801,-131903032.000000,911846.000
154,6.101968,-133499000.000000,911577.000
155,6.153958,-134407120.000000,911577.000
156,6.206275,-135063776.000000,911178.000
157,6.258372,-135747536.000000,911178.000
158,6.310710,-136742400.000000,911753.000
159,6.362791,-137951424.000000,911753.000
160,6.414940,-139297120.000000,911849.000
161,6.466851,-139709904.000000,911849.000
162,6.571316,-139848256.000000,911735.000
163,6.623145,-140166848.000000,911339.000
164,6.675246,-140410624.000000,911339.000
165,6.727531,-140613152.000000,912063.000
166,6.779818,-140760144.000000,912063.000
167,6.832452,-140836416.000000,912609.000
168,6.884058,-140922896.000000,912822.000
169,6.936208,-141170944.000000,912822.000
170,6.988313,-141034128.000000,912238.000
171,7.040218,-140728928.000000,912238.000
172,7.092626,-140761088.000000,911923.000
173,7.145057,-140769008.000000,911923.000
174,7.196948,-140770864.000000,912110.000
175,7.249077,-140645440.000000,912110.000
176,7.301142,-139105872.000000,911792.000
177,7.353300,-135620288.000000,911792.000
178,7.405157,-131235528.000000,912091.000
179,7.457578,-126225992.000000,912091.000
180,7.509448,-121684784.000000,912943.000
181,7.562017,-118242904.000000,912943.000
182,7.613873,-114989432.000000,914361.000
183,7.665886,-111766184.000000,914361.000
184,7.718252,-110794008.000000,914611.000
185,7.770442,-113343520.000000,914611.000
186,7.822337,-117389792.000000,913854.000
187,7.874450,-121352192.000000,913854.000
188,7.926745,-125213696.000000,914126.000
189,7.978897,-128094608.000000,914126.000
190,8.030992,-130175336.000000,913232.000
191,8.083041,-132314704.000000,912775.000
192,8.135179,-133749896.000000,912775.000
193,8.187588,-134596064.000000,912085.000
194,8.239655,-135203552.000000,912085.000
195,8.291859,-135910752.000000,911995.000
196,8.343881,-136994224.000000,911995.000
197,8.395821,-138304944.000000,911841.000
198,8.448006,-139105344.000000,911841.000
199,8.500070,-139350128.000000,912768.000
200,8.552339,-139648672.000000,912768.000
201,8.604351,-139971840.000000,912270.000
202,8.656966,-140237616.000000,912270.000
203,8.709006,-140458944.000000,912200.000
204,8.761073,-140645488.000000,912200.000
205,8.813119,-140796256.000000,911007.000
206,8.864953,-140884224.000000,911007.000
207,8.917200,-141357552.000000,911321.000
208,8.969279,-141340784.000000,911321.000
209,9.021402,-140834640.000000,911884.000
210,9.073713,-140820176.000000,911884.000
211,9.125746,-140852016.000000,912675.000
212,9.177844,-140838560.000000,912497.000
213,9.230173,-140824160.000000,912497.000
214,9.282258,-140363520.000000,912116.000
215,9.334459,-138494736.000000,912116.000
216,9.386595,-134616736.000000,912625.000
217,9.438825,-129556608.000000,912625.000
218,9.595149,-117775032.000000,914106.000
219,9.647027,-114415632.000000,914106.000
220,9.699074,-111237408.000000,914398.000
221,9.751553,-111018712.000000,914398.000
222,9.803558,-114117336.000000,914285.000
223,9.855594,-118142400.000000,914285.000
224,9.907662,-122097920.000000,914016.000
225,9.959981,-125482768.000000,914016.000
226,10.012277,-128366880.000000,912638.000
227,10.064331,-130828648.000000,912638.000
228,10.116257,-132754448.000000,912971.000
229,10.168315,-134004944.000000,912971.000
230,10.220562,-134761440.000000,908994.000
231,10.272692,-135358624.000000,908994.000
232,10.324733,-136099088.000000,909311.000
233,10.376978,-137166880.000000,909290.000
234,10.428998,-138334928.000000,909290.000
235,10.481621,-139067504.000000,909567.000
236,10.533466,-139561488.000000,909567.000
237,10.585517,-139984976.000000,909302.000
238,10.637793,-140234080.000000,909302.000
239,10.689788,-140415728.000000,909157.000
240,10.742275,-140627872.000000,909157.000
241,10.794348,-140827440.000000,909356.000
242,10.846103,-140873344.000000,909356.000
243,11.002785,-140999776.000000,909130.000
244,11.054881,-141008320.000000,909130.000
245,11.106873,-141015984.000000,908734.000
246,11.159273,-141026736.000000,908734.000
247,11.211360,-140990976.000000,908497.000
248,11.263476,-141075968.000000,908497.000
249,11.315342,-140160848.000000,908402.000
250,11.367540,-137679152.000000,908402.000
251,11.419807,-133346704.000000,908573.000
252,11.471901,-127669776.000000,908573.000
253,11.524308,-122841016.000000,985123.000
254,11.576084,-119204320.000000,1034830.000
255,11.628367,-115807864.000000,1034830.000
256,11.680804,-112321152.000000,1042761.000
257,11.732367,-109828840.000000,1042761.000
258,11.784926,-110700312.000000,1042371.000
259,11.836808,-114273376.000000,1042371.000
260,11.888866,-118125632.000000,1042347.000
261,11.940947,-121788360.000000,1042347.000
262,11.993334,-125352536.000000,1004823.000
263,12.045249,-128318752.000000,1004823.000
264,12.097750,-130341296.000000,988323.000
265,12.149657,-131832312.000000,988323.000
266,12.201941,-132771264.000000,1041253.000
267,12.253732,-133431296.000000,1041253.000
268,12.306269,-133691816.000000,1042410.000
269,12.358302,-134323088.000000,1042410.000
270,12.410374,-136076928.000000,1024996.000
271,12.462610,-137783744.000000,1024996.000
272,12.514426,-138303184.000000,937992.000
273,12.566744,-138279648.000000,937992.000
274,12.618716,-138434448.000000,1040788.000
275,12.671103,-138610912.000000,1040788.000
276,12.723239,-138756112.000000,1040749.000
277,12.775469,-138923920.000000,1040793.000
278,12.827314,-139059184.000000,1040793.000
279,12.879553,-139088352.000000,1039732.000
280,12.931468,-139151216.000000,1039732.000
281,12.983890,-139209280.000000,1040213.000
282,13.035841,-139239232.000000,1040213.000
283,13.088101,-139252032.000000,1040682.000
284,13.140254,-139261968.000000,1040682.000
285,13.192289,-139661744.000000,1010779.000
286,13.244699,-140267968.000000,1010779.000
287,13.296602,-140593728.000000,915561.000
288,13.348667,-139287312.000000,915561.000
289,13.400999,-135905632.000000,974329.000
290,13.453055,-131138336.000000,974329.000
291,13.505459,-125863784.000000,1041357.000
292,13.557323,-121625232.000000,1041357.000
293,13.609555,-118360304.000000,1042370.000
294,13.661670,-115056656.000000,1042370.000
295,13.713553,-111547992.000000,1042308.000
296,13.765753,-109593728.000000,1042308.000
297,13.817875,-111546072.000000,1041747.000
298,13.869996,-115372096.000000,1041485.000
299,13.922341,-118873208.000000,1041485.000
300,13.974153,-122431488.000000,1039867.000
301,14.026519,-125499424.000000,1039867.000
302,14.078503,-128110512.000000,1040414.000
303,14.131005,-130391320.000000,1040414.000
304,14.182695,-132014400.000000,1039326.000
305,14.234777,-132858032.000000,1039326.000
306,14.287013,-133472560.000000,1040105.000
307,14.339049,-134353328.000000,1040105.000
308,14.391176,-135278816.000000,1038724.000
309,14.443311,-136693184.000000,1038724.000
310,14.495598,-138243312.000000,927964.000
311,14.547613,-139026208.000000,927964.000
312,14.599720,-139491120.000000,915691.000
313,14.652178,-139862464.000000,915691.000
314,14.704274,-140123856.000000,917325.000
315,14.756549,-139846416.000000,917325.000
316,14.808397,-139738224.000000,1005992.000
317,14.860496,-139755664.000000,1005992.000
318,14.912679,-139475120.000000,1009716.000
319,14.964840,-139346960.000000,1009716.000
320,15.017050,-139224992.000000,1027320.000
321,15.069128,-139191328.000000,1041063.000
322,15.121372,-139193712.000000,1041063.000
323,15.173323,-139190016.000000,1041224.000
324,15.225439,-139161712.000000,1041224.000
325,15.277469,-139142016.000000,1041388.000
326,15.330216,-139541872.000000,1041388.000
327,15.381798,-137909120.000000,1042154.000
328,15.434284,-133762328.000000,1042154.000
329,15.486264,-129004368.000000,1042921.000
330,15.538529,-124186808.000000,1042921.000
331,15.590431,-120363616.000000,1043084.000
332,15.642451,-117160912.000000,1043084.000
333,15.747646,-110553584.000000,1044079.000
334,15.798970,-109670392.000000,1043281.000
335,15.903427,-115961136.000000,1043445.000
336,16.007460,-123640848.000000,1037491.000
337,16.059818,-127290744.000000,1037491.000
338,16.112227,-130255880.000000,929342.000
339,16.164454,-132499496.000000,929342.000
340,16.216099,-133511752.000000,913737.000
341,16.268385,-133638280.000000,1029541.000
342,16.320525,-134291520.000000,1029541.000
343,16.372530,-134776320.000000,1042973.000
344,16.425005,-135203680.000000,1042973.000
345,16.476830,-136346096.000000,1043435.000
346,16.528960,-137171024.000000,1043435.000
347,16.580861,-137670528.000000,1043364.000
348,16.633235,-138076912.000000,1043364.000
349,16.685184,-138337840.000000,1043328.000
350,16.737520,-138557856.000000,1043328.000
351,16.789346,-138737264.000000,1043214.000
352,16.841978,-139070064.000000,1043214.000
353,16.893993,-139128624.000000,1042546.000
354,16.946064,-138973008.000000,1042546.000
355,16.998016,-139078704.000000,1041632.000
356,17.050379,-139149136.000000,1041632.000
357,17.102469,-139149552.000000,1042714.000
358,17.154616,-139167520.000000,1042714.000
359,17.206618,-139186128.000000,1041881.000
360,17.258834,-139168816.000000,1041881.000
361,17.311193,-139364224.000000,1041805.000
362,17.363102,-138857664.000000,1041805.000
363,17.415088,-136715760.000000,1042506.000
364,17.467430,-132842072.000000,1043128.000
365,17.519408,-127914840.000000,1043128.000
366,17.571634,-123362672.000000,1043012.000
367,17.623838,-119707176.000000,1043012.000
368,17.675755,-116597032.000000,1044572.000
369,17.727829,-113325616.000000,1044572.000
370,17.780017,-110235920.000000,1045417.000
371,17.832157,-110094664.000000,1045417.000
372,17.884284,-113324848.000000,1044816.000
373,17.936301,-117338120.000000,1044816.000
374,17.988568,-121064064.000000,1043459.000
375,18.092787,-127015344.000000,1043258.000
376,18.145116,-129399056.000000,1043258.000
377,18.197196,-131192352.000000,1042921.000
378,18.249274,-132244600.000000,1042921.000
379,18.301280,-132985624.000000,1042740.000
380,18.353443,-133650056.000000,1042740.000
381,18.405684,-134539328.000000,1042628.000
382,18.458087,-135759248.000000,1042628.000
383,18.509987,-136871568.000000,1042992.000
384,18.562089,-137547328.000000,1042992.000
385,18.614104,-137915664.000000,1043666.000
386,18.666331,-138250848.000000,1043435.000
387,18.718525,-138537280.000000,1043435.000
388,18.770554,-138729520.000000,1043372.000
389,18.822781,-138915984.000000,1043372.000
390,18.874892,-139076448.000000,1043431.000
391,18.927212,-139192640.000000,1043431.000
392,18.979597,-139258912.000000,1043857.000
393,19.031436,-139274288.000000,1043857.000
394,19.083527,-139292736.000000,1044758.000
395,19.135448,-139259776.000000,1044758.000
396,19.187634,-139318048.000000,1044939.000
397,19.239770,-139304896.000000,1044939.000
398,19.292026,-139168656.000000,1044339.000
399,19.344132,-139150240.000000,1044339.000
400,19.396318,-138239184.000000,1044435.000
401,19.448308,-135919728.000000,1044435.000
402,19.500394,-131841608.000000,1045170.000
403,19.552526,-126598392.000000,1045170.000
404,19.604671,-122172936.000000,1045134.000
405,19.656910,-118790848.000000,1045134.000
406,19.709089,-115682552.000000,1045586.000
407,19.761223,-112322544.000000,1046190.000
408,19.813261,-109705984.000000,1046190.000
409,19.865829,-110503000.000000,1045172.000
