Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
0,0.007381,-129506408.000000,791793.000
1,0.009815,-132868296.000000,791546.000
2,0.011872,-135380464.000000,791546.000
3,0.014266,-137046624.000000,790551.000
4,0.016895,-138137616.000000,790551.000
5,0.018771,-138774368.000000,787758.000
6,0.020945,-135682720.000000,787758.000
7,0.022856,-128648360.000000,790465.000
8,0.024686,-122678264.000000,802484.000
9,0.026417,-118466536.000000,802484.000
10,0.028270,-114719008.000000,801259.000
11,0.032719,-111036272.000000,801259.000
12,0.034769,-107303376.000000,802495.000
13,0.036631,-103855144.000000,802495.000
14,0.038448,-102441144.000000,802666.000
15,0.040454,-105223616.000000,802666.000
16,0.042560,-110959888.000000,801966.000
17,0.044704,-117037848.000000,801966.000
18,0.048803,-122507080.000000,798572.000
19,0.050837,-127112216.000000,798572.000
20,0.053646,-130858872.000000,797473.000
21,0.056054,-133940928.000000,797473.000
22,0.063960,-137694576.000000,797446.000
23,0.065840,-138423360.000000,796442.000
24,0.068142,-137881312.000000,796442.000
25,0.070142,-132980784.000000,796516.000
26,0.072242,-125492792.000000,796516.000
27,0.073973,-120497424.000000,796115.000
28,0.075788,-116757584.000000,796115.000
29,0.077844,-113059504.000000,797108.000
30,0.079735,-109392040.000000,798321.000
31,0.081926,-105797344.000000,798321.000
32,0.083668,-102590112.000000,797198.000
33,0.085381,-102988640.000000,797198.000
34,0.087445,-107640864.000000,796151.000
35,0.089343,-113614656.000000,796151.000
36,0.091573,-119451264.000000,795193.000
37,0.108951,-124597808.000000,795193.000
38,0.161552,-128919408.000000,793801.000
39,0.213607,-132323320.000000,793801.000
40,0.265416,-135071584.000000,791900.000
41,0.317776,-137093616.000000,791900.000
42,0.369707,-138249568.000000,792798.000
43,0.422250,-138721808.000000,792798.000
44,0.474153,-136129424.000000,792353.000
45,0.526203,-129564928.000000,792353.000
46,0.578545,-123259920.000000,792595.000
47,0.630355,-118834544.000000,792595.000
48,0.682731,-115136320.000000,794271.000
49,0.734856,-111586448.000000,794271.000
50,0.786749,-107919344.000000,794729.000
51,0.838988,-104211704.000000,794729.000
52,0.891088,-102234560.000000,794662.000
53,0.943263,-104773256.000000,795356.000
54,0.995597,-110356552.000000,795356.000
55,1.047558,-116236104.000000,795689.000
56,1.100009,-121729440.000000,795689.000
57,1.151657,-126505128.000000,795264.000
58,1.204070,-130464552.000000,795264.000
59,1.256313,-133635096.000000,795106.000
60,1.308118,-135969744.000000,795106.000
61,1.360485,-137507184.000000,794325.000
62,1.412710,-138556704.000000,794325.000
63,1.464740,-138653536.000000,793747.000
64,1.516986,-133959488.000000,793747.000
65,1.568751,-126261088.000000,794244.000
66,1.621285,-121028088.000000,794244.000
67,1.673255,-117213024.000000,795748.000
68,1.725353,-113536448.000000,795748.000
69,1.777623,-109954672.000000,795236.000
70,1.829810,-106374584.000000,795236.000
71,1.881709,-102935856.000000,797208.000
72,1.933947,-102869400.000000,797208.000
73,1.985842,-107105112.000000,796297.000
74,2.038345,-112792704.000000,796297.000
75,2.090410,-118534456.000000,796922.000
76,2.142455,-123738544.000000,796540.000
77,2.194641,-128277120.000000,796540.000
78,2.247010,-131983552.000000,794473.000
79,2.298881,-134888608.000000,794473.000
80,2.350767,-136852320.000000,793693.000
81,2.402914,-138043760.000000,793693.000
82,2.455438,-138833952.000000,793429.000
83,2.507259,-136917872.000000,793429.000
84,2.559681,-130595888.000000,795171.000
85,2.611885,-123872664.000000,795171.000
86,2.663861,-119341720.000000,796621.000
87,2.715763,-115690336.000000,796621.000
