Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
0,0.000663,-109414368.000000,797996.000
1,0.003161,-90261512.000000,799392.000
2,0.005434,-78233312.000000,799392.000
3,0.008083,-70628512.000000,801413.000
4,0.010293,-64987412.000000,801413.000
5,0.012751,-59991072.000000,802644.000
6,0.014525,-54966928.000000,802644.000
7,0.016789,-52438800.000000,803720.000
8,0.020207,-57977808.000000,803720.000
9,0.022320,-71003616.000000,801981.000
10,0.024164,-86232752.000000,801981.000
11,0.025995,-100120944.000000,801699.000
12,0.028313,-111380624.000000,799279.000
13,0.030256,-120754456.000000,799279.000
14,0.032013,-120032024.000000,798325.000
15,0.033686,-104915144.000000,798325.000
16,0.036011,-87232200.000000,800576.000
17,0.039346,-75402728.000000,800576.000
18,0.041399,-67922392.000000,802023.000
19,0.043256,-62501288.000000,802023.000
20,0.045916,-57626300.000000,801588.000
21,0.047662,-52599488.000000,801588.000
22,0.050107,-51933808.000000,802825.000
23,0.052246,-60243608.000000,802825.000
24,0.054590,-74801904.000000,802108.000
25,0.056653,-90334496.000000,802108.000
26,0.059256,-103973848.000000,800659.000
27,0.061199,-115520144.000000,800659.000
28,0.062913,-125335544.000000,798073.000
29,0.064554,-124179784.000000,798073.000
30,0.066151,-107419784.000000,799238.000
31,0.068207,-88458016.000000,799238.000
32,0.070626,-76326056.000000,802117.000
33,0.072246,-68791696.000000,804399.000
34,0.073825,-63220524.000000,804399.000
35,0.075495,-58277744.000000,805776.000
36,0.077200,-53272068.000000,805776.000
37,0.079184,-51286008.000000,805393.000
38,0.081105,-57646728.000000,805393.000
39,0.082795,-71273168.000000,803666.000
40,0.123816,-86599768.000000,803666.000
41,0.176228,-100425616.000000,802960.000
42,0.228234,-111880896.000000,802960.000
43,0.280464,-121253232.000000,801111.000
44,0.332907,-118904232.000000,801111.000
45,0.384669,-102734560.000000,801772.000
46,0.436715,-85456112.000000,801772.000
47,0.488849,-73621768.000000,802567.000
48,0.541006,-66432920.000000,802567.000
49,0.593114,-60985524.000000,803318.000
50,0.645321,-55939868.000000,803318.000
51,0.697658,-50926852.000000,804600.000
52,0.749506,-50927688.000000,804600.000
53,0.801674,-60169260.000000,820310.000
54,0.853955,-75210560.000000,820310.000
55,0.906057,-90884272.000000,812307.000
56,0.958236,-104471896.000000,804538.000
57,1.010370,-116066848.000000,804538.000
58,1.062485,-125777760.000000,802845.000
59,1.114520,-122716128.000000,802845.000
60,1.167292,-105332024.000000,804070.000
61,1.218707,-87413992.000000,804070.000
62,1.270835,-75345984.000000,805478.000
63,1.322915,-68058896.000000,805478.000
64,1.375429,-62567864.000000,805262.000
65,1.427526,-57487144.000000,805262.000
66,1.479578,-52374728.000000,804944.000
67,1.531981,-50997072.000000,804944.000
68,1.584172,-58097952.000000,804512.000
69,1.635663,-71932192.000000,804512.000
70,1.792367,-112748064.000000,795153.000
71,1.844261,-121978968.000000,795153.000
72,1.896840,-118086024.000000,792006.000
73,1.948946,-101111232.000000,792006.000
74,2.001047,-84748168.000000,792788.000
75,2.052776,-72981568.000000,792788.000
76,2.105048,-65564968.000000,794449.000
77,2.157265,-60119292.000000,795024.000
78,2.209379,-55253504.000000,795024.000
