Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
0,0.000660,-133669720.000000,807458.000
1,0.002907,-133607168.000000,807458.000
2,0.005282,-124541776.000000,808536.000
3,0.007417,-113306344.000000,808536.000
4,0.009682,-106379680.000000,808459.000
5,0.011758,-100564096.000000,808459.000
6,0.014562,-95445032.000000,810109.000
7,0.016999,-91206840.000000,810109.000
8,0.019113,-87233864.000000,810241.000
9,0.023685,-87885968.000000,810262.000
10,0.025870,-96297592.000000,810262.000
11,0.028348,-106631200.000000,808885.000
12,0.030253,-117219280.000000,808885.000
13,0.032073,-125676576.000000,807491.000
14,0.033992,-131867728.000000,807491.000
15,0.036176,-136650688.000000,805527.000
16,0.038196,-140155808.000000,805527.000
17,0.040630,-137504352.000000,805421.000
18,0.043636,-126413424.000000,805421.000
19,0.046227,-115190304.000000,805837.000
20,0.048735,-108001088.000000,807291.000
21,0.050791,-102114768.000000,807291.000
22,0.052574,-97052424.000000,808140.000
23,0.054597,-92686824.000000,808140.000
24,0.058614,-88434056.000000,809156.000
25,0.060809,-85418720.000000,809156.000
26,0.062732,-87939400.000000,809787.000
27,0.064813,-95663176.000000,809787.000
28,0.066624,-104799184.000000,808505.000
29,0.068339,-113438424.000000,808505.000
30,0.070069,-120473600.000000,808851.000
31,0.071974,-126254944.000000,808851.000
32,0.075414,-130910736.000000,807902.000
33,0.077998,-134572912.000000,807902.000
34,0.079814,-131725176.000000,806513.000
35,0.081648,-121333008.000000,806513.000
36,0.083387,-111738544.000000,807672.000
37,0.085461,-104904352.000000,807672.000
38,0.087211,-99061528.000000,809669.000
39,0.133913,-94222264.000000,809669.000
40,0.185805,-90104112.000000,809057.000
41,0.238177,-86111408.000000,809621.000
42,0.290413,-84901224.000000,809621.000
43,0.342118,-89726704.000000,810344.000
44,0.394299,-98641744.000000,810344.000
45,0.446608,-109253432.000000,809398.000
46,0.498910,-119587168.000000,809398.000
47,0.550962,-127519592.000000,807397.000
48,0.602804,-133188984.000000,807397.000
49,0.654998,-137932720.000000,807477.000
50,0.707051,-140788832.000000,807477.000
51,0.759197,-134829360.000000,808322.000
52,0.811447,-122631072.000000,808322.000
53,0.863612,-113243152.000000,808474.000
54,0.915717,-106460200.000000,808474.000
55,0.967994,-100602224.000000,809527.000
56,1.020195,-95751568.000000,809527.000
57,1.072230,-91565424.000000,809557.000
58,1.124237,-87446608.000000,809557.000
59,1.176314,-85683096.000000,810661.000
60,1.228719,-89525480.000000,810661.000
61,1.280506,-97661256.000000,809923.000
62,1.333044,-106928112.000000,809923.000
63,1.384823,-115227832.000000,808026.000
64,1.437181,-121943800.000000,807034.000
65,1.489430,-127574048.000000,807034.000
66,1.541283,-132099752.000000,806497.000
67,1.593238,-135538352.000000,806497.000
68,1.645777,-130304120.000000,806952.000
69,1.697823,-118460456.000000,806952.000
70,1.750018,-110007592.000000,808503.000
71,1.802027,-103476920.000000,808503.000
72,1.854201,-97738736.000000,809045.000
73,1.906169,-93200096.000000,809045.000
74,1.958350,-89223520.000000,809485.000
75,2.010689,-85230936.000000,809485.000
76,2.062604,-85351480.000000,810119.000
77,2.114742,-91679072.000000,810119.000
78,2.166960,-101202920.000000,809840.000
79,2.219193,-111876784.000000,809840.000
80,2.271132,-121509048.000000,808783.000
81,2.323399,-128889768.000000,808783.000
82,2.375336,-134212632.000000,807324.000
83,2.427721,-138534736.000000,807324.000
84,2.479926,-140797536.000000,806756.000
85,2.531753,-132635216.000000,806756.000
86,2.584251,-119540704.000000,808663.000
87,2.636112,-111666672.000000,809632.000
88,2.688090,-105180256.000000,809632.000
89,2.740381,-99217440.000000,810135.000
90,2.792513,-94557928.000000,810135.000
91,2.844554,-90416600.000000,811939.000
92,2.896720,-86260192.000000,811939.000
93,2.948949,-85757152.000000,811592.000
94,3.001042,-91207672.000000,811592.000
95,3.053335,-99765872.000000,811516.000
96,3.105327,-108829848.000000,811516.000
97,3.157528,-116969720.000000,810711.000
98,3.209634,-123433064.000000,810711.000
99,3.261692,-128462128.000000,806489.000
100,3.313803,-132584992.000000,806489.000
101,3.365826,-135007952.000000,806557.000
102,3.418022,-127510080.000000,806557.000
103,3.470125,-115212504.000000,807053.000
104,3.522234,-108010848.000000,807053.000
105,3.574405,-101941672.000000,808663.000
106,3.626532,-96571776.000000,808663.000
107,3.678791,-92234408.000000,808711.000
108,3.730993,-88120032.000000,808711.000
109,3.783217,-84421312.000000,809732.000
110,3.835226,-86065744.000000,809239.000
111,3.887398,-93662976.000000,809239.000
112,3.939643,-103526520.000000,808512.000
113,3.991544,-114309504.000000,808512.000
114,4.095790,-130396936.000000,808461.000
115,4.148035,-135544208.000000,808264.000
116,4.200345,-139361264.000000,808264.000
117,4.304204,-129736544.000000,808026.000
118,4.356745,-116868600.000000,809899.000
119,4.408640,-109458848.000000,809899.000
120,4.460703,-103455488.000000,810002.000
121,4.512812,-98044640.000000,810002.000
122,4.564978,-93556760.000000,810330.000
123,4.617184,-89445888.000000,810330.000
124,4.669384,-85749368.000000,810099.000
125,4.721587,-86547872.000000,810099.000
126,4.773956,-93099504.000000,809855.000
127,4.825827,-101958232.000000,809855.000
128,4.877811,-110883680.000000,808674.000
129,4.930187,-118365008.000000,808674.000
130,4.982213,-124548432.000000,807788.000
131,5.034473,-129587752.000000,807185.000
132,5.086230,-133494056.000000,807185.000
133,5.138603,-133809784.000000,807961.000
134,5.190523,-124861992.000000,807961.000
135,5.242929,-113344944.000000,809287.000
136,5.294919,-106415656.000000,809287.000
137,5.347163,-100584696.000000,810618.000
138,5.399340,-95417880.000000,810618.000
139,5.451216,-91118864.000000,809336.000
140,5.503655,-87060576.000000,809336.000
141,5.555737,-84292264.000000,810347.000
142,5.607666,-87401832.000000,810347.000
143,5.660183,-95860160.000000,809818.000
144,5.712053,-106198088.000000,809818.000
145,5.764254,-116897512.000000,808498.000
146,5.816351,-125598424.000000,808498.000
147,5.868521,-131845104.000000,808161.000
148,5.920658,-136625168.000000,808161.000
149,5.972789,-140125968.000000,806502.000
150,6.024753,-137610480.000000,806502.000
151,6.076916,-126559520.000000,806908.000
152,6.129294,-115196256.000000,808026.000
