Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
134,5.205945,-119966104.000000,1328224.000
135,5.258024,-116251360.000000,1326499.000
136,5.310265,-113162288.000000,1326784.000
137,5.362534,-110034648.000000,1326784.000
138,5.414760,-106854592.000000,1327495.000
139,5.466511,-106213960.000000,1327495.000
140,5.518890,-109028376.000000,1327408.000
141,5.570819,-113102496.000000,1327408.000
142,5.622966,-117150992.000000,1326981.000
143,5.675096,-121216504.000000,1326981.000
144,5.727252,-125243200.000000,1193061.000
145,5.779370,-128499424.000000,1193061.000
146,5.831618,-130948864.000000,1116576.000
147,5.883744,-131976320.000000,1116576.000
148,5.935794,-131935784.000000,1243630.000
149,5.988346,-131820048.000000,1243630.000
150,6.040254,-131879552.000000,1326141.000
151,6.092219,-132841120.000000,1326141.000
152,6.144787,-134295296.000000,1331287.000
153,6.196662,-135448784.000000,1331287.000
154,6.248876,-134234352.000000,1327956.000
155,6.300722,-130830528.000000,1327956.000
156,6.353022,-126504960.000000,1331534.000
157,6.405101,-121492800.000000,1331534.000
158,6.457203,-117471928.000000,1342029.000
159,6.509201,-114205912.000000,1343275.000
160,6.561424,-110957712.000000,1343275.000
161,6.613835,-107626368.000000,1342953.000
162,6.665573,-105648760.000000,1342953.000
163,6.717977,-107240224.000000,1343895.000
164,6.769977,-111274464.000000,1343895.000
165,6.822237,-115429392.000000,1342400.000
166,6.874352,-119307096.000000,1342400.000
167,6.926294,-122693304.000000,1343754.000
168,6.978902,-125491440.000000,1343754.000
169,7.030608,-127816368.000000,1346814.000
170,7.083104,-129410896.000000,1346814.000
171,7.135090,-130371960.000000,1340943.000
172,7.187359,-130824888.000000,1340943.000
173,7.239161,-131177360.000000,1340614.000
174,7.291430,-132380304.000000,1340614.000
175,7.343676,-134278304.000000,1339681.000
176,7.395737,-135520048.000000,1339681.000
177,7.499761,-132737120.000000,1338591.000
178,7.552159,-128113872.000000,1343499.000
179,7.604616,-123275200.000000,1364160.000
180,7.656404,-118863696.000000,1364160.000
181,7.708876,-115407200.000000,1351474.000
182,7.760483,-112363384.000000,1351474.000
183,7.812690,-109262160.000000,1343301.000
184,7.864769,-106394504.000000,1343301.000
185,7.916909,-106163968.000000,1339321.000
186,7.969074,-109309744.000000,1339321.000
187,8.021140,-113561456.000000,1337348.000
188,8.073453,-117566048.000000,1337348.000
189,8.125625,-120991936.000000,1343000.000
190,8.178174,-123943072.000000,1343000.000
191,8.229817,-126460888.000000,1337556.000
192,8.281845,-128406944.000000,1337556.000
193,8.334149,-130111144.000000,1336503.000
194,8.386338,-130839152.000000,1336503.000
195,8.438669,-130786832.000000,1350670.000
196,8.490585,-131675584.000000,1350670.000
197,8.542571,-133516840.000000,1309330.000
198,8.594598,-135068368.000000,1309330.000
199,8.647004,-135892480.000000,1324967.000
200,8.699094,-133941896.000000,1324967.000
201,8.751043,-129878944.000000,1350058.000
202,8.803459,-125509112.000000,1347564.000
203,8.855624,-120623048.000000,1347564.000
204,8.907716,-116739328.000000,1348761.000
205,8.959569,-113598736.000000,1348761.000
206,9.011789,-110467968.000000,1348612.000
207,9.063740,-107144592.000000,1348612.000
208,9.115974,-105543040.000000,1346979.000
209,9.168117,-107640152.000000,1346979.000
210,9.220422,-111787832.000000,1347614.000
211,9.272569,-115950904.000000,1347614.000
212,9.324708,-119696608.000000,1346470.000
213,9.376883,-122818576.000000,1346470.000
214,9.428893,-125413736.000000,1345811.000
215,9.481105,-127636032.000000,1345811.000
