Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
0,0.000619,-139989776.000000,942848.000
1,0.006790,-140477824.000000,943001.000
2,0.009429,-140853968.000000,943001.000
3,0.011440,-141097408.000000,942667.000
4,0.013510,-141269712.000000,942667.000
5,0.015514,-140666272.000000,942284.000
6,0.017585,-138600624.000000,942284.000
7,0.019326,-134615424.000000,942592.000
8,0.021067,-129364264.000000,942592.000
9,0.023905,-124780584.000000,944050.000
10,0.025816,-121221952.000000,944050.000
11,0.027944,-117921632.000000,944349.000
12,0.029733,-114484312.000000,944349.000
13,0.031379,-111436688.000000,944983.000
14,0.033816,-111724384.000000,944983.000
15,0.035795,-115396712.000000,944736.000
16,0.037572,-119737536.000000,944736.000
17,0.039382,-123461760.000000,944269.000
18,0.054173,-126532048.000000,944269.000
19,0.055920,-129450816.000000,943870.000
20,0.058195,-131887632.000000,943870.000
21,0.060371,-133617216.000000,942940.000
22,0.062728,-134648096.000000,942940.000
23,0.064753,-135377760.000000,943062.000
24,0.066463,-135616416.000000,942923.000
25,0.071684,-137511984.000000,942781.000
26,0.073720,-138644544.000000,942781.000
27,0.075638,-139399024.000000,942290.000
28,0.077981,-139954848.000000,942290.000
29,0.079719,-140451168.000000,942689.000
30,0.081369,-140830016.000000,942689.000
31,0.084224,-141060992.000000,942794.000
32,0.086209,-141186384.000000,942794.000
33,0.088049,-140710912.000000,942492.000
34,0.089879,-138713296.000000,942492.000
35,0.091648,-134914000.000000,942406.000
36,0.093724,-130010672.000000,942406.000
37,0.095986,-125375136.000000,943244.000
38,0.097721,-121649752.000000,943244.000
39,0.112606,-118343872.000000,943594.000
40,0.165182,-114965424.000000,943594.000
41,0.216979,-111702968.000000,943395.000
42,0.268995,-111433464.000000,943395.000
43,0.321099,-114663936.000000,943109.000
44,0.373515,-118687280.000000,943109.000
45,0.425625,-122504480.000000,942820.000
46,0.477518,-125747080.000000,942777.000
47,0.581685,-130856208.000000,943017.000
48,0.634120,-132750216.000000,943017.000
49,0.686088,-134033336.000000,942748.000
50,0.738383,-134965280.000000,942748.000
51,0.790286,-135450560.000000,942288.000
52,0.842506,-136001664.000000,942288.000
53,0.894782,-137115904.000000,942667.000
54,0.946938,-138347536.000000,942667.000
55,0.998909,-139303008.000000,942391.000
56,1.051175,-139925664.000000,942391.000
57,1.103259,-140368048.000000,942481.000
58,1.155342,-140704672.000000,942481.000
59,1.207527,-140978496.000000,942165.000
60,1.259800,-141226528.000000,942165.000
61,1.311853,-141172928.000000,942432.000
62,1.363876,-139393376.000000,942432.000
63,1.416175,-135689232.000000,943100.000
64,1.468730,-130871792.000000,943100.000
65,1.520379,-125954944.000000,942942.000
66,1.572685,-122071496.000000,942942.000
67,1.624536,-118780632.000000,943750.000
68,1.676641,-115411184.000000,944048.000
69,1.728944,-112033880.000000,944048.000
70,1.781241,-111214352.000000,944718.000
71,1.833100,-113971032.000000,944718.000
72,1.885367,-118072288.000000,944011.000
73,1.937564,-122078160.000000,944011.000
74,1.989433,-125524360.000000,944118.000
75,2.093721,-130934432.000000,943543.000
76,2.146212,-133007104.000000,943543.000
77,2.198223,-134390592.000000,942881.000
78,2.250292,-135276576.000000,942881.000
79,2.302636,-135669584.000000,943163.000
80,2.354593,-136172352.000000,943163.000
81,2.406646,-137303936.000000,943070.000
82,2.459102,-138563072.000000,943070.000
83,2.510908,-139517600.000000,942184.000
84,2.563201,-140119824.000000,942184.000
85,2.615236,-140605104.000000,941990.000
86,2.667129,-140979872.000000,941990.000
87,2.719331,-141228544.000000,942158.000
88,2.771551,-141370720.000000,942468.000
89,2.823554,-141439616.000000,942468.000
90,2.875796,-139960080.000000,942358.000
91,2.927951,-136617920.000000,942358.000
92,2.980034,-132050952.000000,942960.000
93,3.032473,-127011072.000000,942960.000
94,3.084258,-122946256.000000,942768.000
95,3.136718,-119625760.000000,942768.000
96,3.188811,-116292296.000000,943785.000
97,3.240867,-112802480.000000,943785.000
98,3.345017,-113590976.000000,944040.000
99,3.397260,-117624824.000000,943948.000
100,3.449536,-121600624.000000,943948.000
101,3.501557,-125129992.000000,942910.000
102,3.553726,-128161248.000000,942910.000
103,3.605621,-130745216.000000,942688.000
104,3.657876,-132843816.000000,942688.000
105,3.709819,-134215552.000000,941781.000
106,3.761903,-135035248.000000,941781.000
107,3.814409,-135542080.000000,941733.000
108,3.866551,-136024960.000000,941733.000
109,3.918653,-137068384.000000,942282.000
110,3.970644,-138409472.000000,941743.000
111,4.022961,-139383552.000000,941743.000
112,4.074982,-139991536.000000,941073.000
113,4.126921,-140433520.000000,941073.000
114,4.179273,-140812304.000000,941162.000
115,4.231433,-141198288.000000,941162.000
116,4.283287,-141349552.000000,941650.000
117,4.335746,-141371808.000000,941650.000
118,4.387802,-140113680.000000,935969.000
119,4.439946,-137199872.000000,935969.000
120,4.492208,-132939312.000000,936121.000
121,4.543915,-127888744.000000,936121.000
122,4.596102,-123712400.000000,936012.000
123,4.648345,-120368352.000000,936012.000
124,4.700330,-117285056.000000,936636.000
125,4.752712,-113799656.000000,936636.000
126,4.804703,-111484400.000000,936536.000
127,4.857019,-112977368.000000,936536.000
128,4.909034,-116982144.000000,936514.000
129,4.961144,-121117856.000000,936514.000
130,5.013468,-124782160.000000,936250.000
131,5.065590,-127824976.000000,936250.000
132,5.117760,-130403536.000000,935136.000
133,5.169987,-132630776.000000,929369.000
134,5.221975,-134697568.000000,929369.000
135,5.274021,-135499296.000000,926497.000
136,5.326146,-135519504.000000,926497.000
137,5.378193,-135821040.000000,927573.000
138,5.430396,-136631968.000000,927573.000
139,5.483197,-138020032.000000,929060.000
140,5.534628,-139082176.000000,929060.000
141,5.586820,-139824112.000000,929988.000
142,5.639023,-140385488.000000,929988.000
143,5.691158,-140879008.000000,925660.000
