Time (s), TIVA Raw
0.000663, -0.00418636901
0.003161, -0.00414452515
0.005434, -0.00410206988
0.008083, -0.00405872706
0.010293, -0.0040170364
0.012751, -0.00396800786
0.014525, -0.00402765208
0.016789, -0.00408427556
0.020207, -0.00414095818
0.02232, -0.00420330138
0.024164, -0.00426724972
0.025995, -0.00432399241
0.028313, -0.0043760417
0.030256, -0.00442653289
0.032013, -0.00447856122
0.033686, -0.00452657043
0.036011, -0.0046864436
0.039346, -0.00475754309
0.041399, -0.00480366917
0.043256, -0.00481628254
0.045916, -0.00483222538
0.047662, -0.00484023988
0.050107, -0.00484195537
0.052246, -0.00484823063
0.05459, -0.00485732639
0.056653, -0.00486100139
0.059256, -0.00486026844
0.061199, -0.0048624482
0.062913, -0.0048676175
0.064554, -0.00487240264
0.066151, -0.00488193053
0.068207, -0.00489544169
0.070626, -0.00491099571
0.072246, -0.00492211477
0.073825, -0.00493544666
0.075495, -0.00494776666
0.0772, -0.00496010296
0.079184, -0.00497244391
0.081105, -0.00498294737
0.082795, -0.00499384431
0.123816, -0.00500379689
0.176228, -0.00500583834
0.228234, -0.00499559612
0.280464, -0.00498896604
0.332907, -0.00499072624
0.384669, -0.00499998778
0.436715, -0.00500862346
0.488849, -0.00500731216
0.541006, -0.0050011347
0.593114, -0.0049980143
0.645321, -0.00499998498
0.697658, -0.00500726886
0.749506, -0.0050125895
0.801674, -0.00501422258
0.853955, -0.00501480652
0.906057, -0.00501519348
0.958236, -0.00501774949
1.01037, -0.00502008525
1.062485, -0.00501878652
1.11452, -0.00501685822
1.167292, -0.00501595111
1.218707, -0.00501642702
1.270835, -0.0050167595
1.322915, -0.0050166971
1.375429, -0.00501810759
1.427526, -0.0050204657
1.479578, -0.00502273207
1.531981, -0.0050204629
1.584172, -0.00501829897
1.635663, -0.00501881213
1.792367, -0.0050197686
1.844261, -0.0050173318
1.89684, -0.00501537602
1.948946, -0.0050155539
2.001047, -0.0050153695
2.052776, -0.0050150929
2.105048, -0.00501303328
2.157265, -0.00501116365
2.209379, -0.00501362653
2.261449, -0.00501583656
2.313462, -0.00501758279
2.366169, -0.00501672783
2.417765, -0.00501554273
2.469919, -0.0050146263
2.522136, -0.00500140246
2.574171, -0.00494874501
2.626278, -0.00491381343
2.678378, -0.00488501694
2.730664, -0.00484149483
2.782975, -0.00477079255
2.834923, -0.00469191651
2.991373, -0.00462118769
3.0434, -0.00455249473
3.095548, -0.00448690587
3.148311, -0.00442648772
3.199946, -0.00437544798
3.25206, -0.00433218432
3.304332, -0.00429013278
3.356413, -0.00424876948
3.408526, -0.00420712027
3.460461, -0.00416407082
3.512864, -0.00412441976
3.564777, -0.00408281618
3.616926, -0.00403939839
3.668971, -0.00399487791
3.721107, -0.00394740561
3.773194, -0.00390115985
3.825295, -0.00387227325
3.877581, -0.00388634391
3.929564, -0.00392709812
3.981754, -0.00397748034
4.034002, -0.00403581093
4.086005, -0.00409401208
4.138183, -0.00415502069
4.190405, -0.00421969546
4.242546, -0.00428031664
4.294888, -0.00433613592
4.346988, -0.0043871873
4.398895, -0.00443705869
4.451078, -0.00448812125
4.503098, -0.00453699473
4.555307, -0.00458218203
4.607834, -0.00462194206
4.659665, -0.00465919962
4.711717, -0.00469414191
4.763801, -0.00472786696
4.815959, -0.00475730048
4.868006, -0.00478397216
4.920137, -0.00480340607
4.972373, -0.004848673
5.024459, -0.00486364681
5.076638, -0.00487063545
5.128764, -0.00487563945
5.180938, -0.00487520126
5.232984, -0.0048774844
5.285295, -0.00489169219
5.337636, -0.00490714935
5.389726, -0.00491937808
5.441478, -0.00493092788
5.493916, -0.00494327861
5.545846, -0.00495664868
5.598256, -0.00496954191
5.650147, -0.00498025259
5.702237, -0.00498945498
5.754489, -0.00499918032
5.806986, -0.00500964466
5.858993, -0.00500969681
5.910689, -0.00499701546
5.963059, -0.00498892972
6.015272, -0.0049908841
6.067147, -0.00500226486
6.11982, -0.00500962883
6.171524, -0.00500651169
6.223675, -0.00500064808
6.275737, -0.0050001298
6.32783, -0.00500487023
6.380008, -0.00501090055
6.432125, -0.0050126356
6.48427, -0.00501444796
6.536415, -0.00501603912
6.588519, -0.00501651177
6.640591, -0.00501784309
6.692685, -0.00502080656
6.744855, -0.00502238515
6.796999, -0.00502326805
6.849137, -0.0050228131
6.901255, -0.00502105057
6.953419, -0.00501750549
7.005533, -0.0050161574
7.057677, -0.00501627102
7.109788, -0.0050184126
7.161976, -0.00502078561
7.214093, -0.00501908501
7.26629, -0.00501355528
7.318448, -0.00501895649
7.370504, -0.00501539139
7.422737, -0.00501117203
7.474905, -0.00500745512
7.526808, -0.00500596687
7.57895, -0.00500516779
7.63118, -0.00500373216
7.683469, -0.00500197708
7.735519, -0.00500154262
7.787556, -0.0050018779
7.839905, -0.00500276917
7.891912, -0.00500212796
7.944277, -0.00500058708
7.996234, -0.00499964505
8.048223, -0.0049986015
8.100428, -0.00497252587
8.15242, -0.0049277055
8.204813, -0.00489495974
8.256823, -0.00486487615
8.308967, -0.00481473933
8.361202, -0.004742485
8.413156, -0.00466849096
8.465326, -0.00460032839
8.5175, -0.00453368807
8.569515, -0.00446985336
8.621755, -0.00441481918
8.673736, -0.00436558807
8.726135, -0.00432057632
8.778285, -0.00429381895
8.830272, -0.0042403792
8.883145, -0.00419270386
8.934507, -0.00414695404
8.986989, -0.00410057557
9.038821, -0.00405712565
9.090948, -0.00401461077
9.143321, -0.00397052709
9.195459, -0.00392290204
9.247266, -0.00387698994
9.299424, -0.00385682773
9.351606, -0.00387934292
9.40369, -0.00392390228
9.455889, -0.00397685775
9.508074, -0.00403535086
9.560326, -0.00409299787
9.612385, -0.00415483675
9.664629, -0.00421965075
9.716658, -0.00427845725
9.769152, -0.00433465
9.82096, -0.00438301311
9.873078, -0.00443403562
9.925282, -0.0044865692
9.977265, -0.00453383382
10.029446, -0.00457753241
10.081634, -0.00461703306
10.133628, -0.00465373368
10.185991, -0.00470433151
10.29014, -0.00473604165
10.342433, -0.00475126039
10.394619, -0.00476886332
10.446464, -0.00478628277
10.499268, -0.00480320118
10.550755, -0.00481513468
10.603184, -0.00482166931
10.655084, -0.00482924887
10.707417, -0.00484111486
10.759432, -0.0048486297
10.81191, -0.00484934728
10.96771, -0.00485205044
11.019981, -0.00486095482
11.072067, -0.0048825494
11.124276, -0.00489827385
11.176385, -0.00491003692
11.228377, -0.00492267869
11.280802, -0.0049362597
11.33294, -0.00495020067
11.385056, -0.00496248854
11.437234, -0.00497239967
11.489139, -0.00498233921
11.541269, -0.00499506061
11.593587, -0.00500343367
11.645697, -0.00501725636
11.697951, -0.00499685853
11.749776, -0.00498724868
11.802032, -0.00498979678
11.85429, -0.00499745691
11.90647, -0.00499884178
11.958706, -0.00499322451
12.010639, -0.00498928502
12.062819, -0.00499158771
12.114841, -0.00499716354
12.166879, -0.00500208325
12.218969, -0.00500540202
12.271123, -0.00500696944
12.323272, -0.00500869285
12.37543, -0.00501157622
12.427489, -0.00501296436
12.479654, -0.00501498486
12.531711, -0.00501530477
12.583871, -0.00501264166
12.636012, -0.00501222629
12.688384, -0.0050132256
12.740469, -0.00501487683
12.792576, -0.00501607405
12.844571, -0.00501827243
12.896726, -0.00502012064
12.948956, -0.00502009224
13.000947, -0.00501676322
13.053291, -0.00502522569
13.105366, -0.00502448715
13.15732, -0.00501570664
13.20948, -0.00501136947
13.366, -0.00500904768
13.418325, -0.00500762835
13.470254, -0.00500481808
13.522544, -0.00500390538
13.574514, -0.00500263925
13.626706, -0.00500301178
13.678773, -0.00500530982
13.73123, -0.00500713987
13.782905, -0.00500721717
13.835208, -0.00500692147
13.887289, -0.00500593893
13.939681, -0.00500549515
13.991692, -0.00496745714
14.043877, -0.00492473179
14.095813, -0.004891593
14.147966, -0.00485908798
14.200225, -0.00480288034
14.252173, -0.00472809607
14.304377, -0.00465373462
14.356693, -0.00458530336
14.409177, -0.00451818713
14.460879, -0.00445500342
14.512754, -0.00440144725
14.617258, -0.00435707299
14.66926, -0.00432109879
14.721325, -0.00427018385
14.773506, -0.00422541983
14.825633, -0.00418216409
14.877774, -0.00413968181
14.930045, -0.00409804051
14.982032, -0.00405637407
15.03419, -0.00401302939
15.086315, -0.00397030031
15.138462, -0.00392311671
15.19074, -0.00388058507
15.242693, -0.00387183297
15.295033, -0.00390432728
15.347022, -0.00394943775
15.399091, -0.00400534318
15.451226, -0.00406407564
15.503647, -0.00412052311
15.555991, -0.0041825571
15.607736, -0.00424180785
15.659921, -0.00430022738
15.712091, -0.0043530967
15.764218, -0.00440088286
15.816186, -0.00445151887
15.868539, -0.00450237328
15.920703, -0.00454974034
15.972711, -0.00459345802
16.024716, -0.00463216239
16.07708, -0.00467325886
16.129212, -0.00470345187
16.181702, -0.0047320621
16.233411, -0.00475337402
16.285393, -0.00477491877
16.337698, -0.00479355221
16.389764, -0.00480718538
16.441879, -0.00481372745
16.494065, -0.00481917429
16.546146, -0.0048291739
16.59833, -0.00484080007
16.650343, -0.00484479684
16.702688, -0.00484657334
16.754561, -0.00485263718
16.806842, -0.00485964445
16.859052, -0.00486172549
16.911101, -0.00486364401
16.963421, -0.00487635051
17.015258, -0.00490485643
17.067408, -0.00493623036
17.119575, -0.00494922744
17.171935, -0.00496076373
17.22407, -0.00497052026
17.276117, -0.00498165795
17.328169, -0.00499526318
17.380927, -0.00500113703
17.432416, -0.00499169062
17.484542, -0.00498325703
17.53684, -0.00498432712
17.588835, -0.00499223405
17.641206, -0.00500038452
17.693218, -0.00500672357
17.745263, -0.00501064443
17.797321, -0.0050122491
17.849524, -0.00500318687
17.901802, -0.00499402033
17.953895, -0.00499277329
18.006126, -0.00499570602
18.058156, -0.00499958405
18.110223, -0.00500060291
18.162587, -0.00500153051
18.21443, -0.00500357616
18.266624, -0.00500719202
18.318805, -0.00500592542
18.37109, -0.00500219734
18.423262, -0.00500037521
18.47572, -0.00500068161
18.527235, -0.00500305555
18.579592, -0.00500204507
18.631562, -0.00499651487
18.683972, -0.00499529857
18.735939, -0.00499587971
18.787891, -0.00499715236
18.840295, -0.00499936984
18.892215, -0.00500105228
18.944424, -0.00500083994
18.997077, -0.00500065088
19.048625, -0.00499799847
19.101002, -0.00499712349
19.152914, -0.00499714026
19.204996, -0.00499777402
19.25729, -0.00499663781
19.309514, -0.00499719288
19.361582, -0.00499763712
19.414, -0.00499824387
19.465965, -0.0049940492
19.517808, -0.00498966081
19.570349, -0.00498717185
19.622143, -0.00497893709
19.674343, -0.00493137724
19.726615, -0.00489311432
19.778979, -0.00486195133
19.830677, -0.00482411403
19.882692, -0.0047588949
19.934796, -0.00468075834
19.987071, -0.00460974685
