0.0004,-0.007155
0.0006,-0.007155
0.0008,-0.007155
0.0010,-0.007155
0.0012,-0.007155
0.0014,-0.007155
0.0016,-0.007155
0.0019,-0.007155
0.0021,-0.007155
0.0023,-0.007155
0.0025,-0.007155
0.0027,-0.007155
0.0029,-0.007155
0.0031,-0.007155
0.0033,-0.007155
0.0035,-0.007155
0.0037,-0.007155
0.0039,-0.007155
0.0041,-0.007155
0.0042,-0.007155
0.0184,-0.007154
0.0191,-0.007154
0.0196,-0.007154
0.0199,-0.007155
0.0202,-0.007155
0.0204,-0.007155
0.0206,-0.007155
0.0208,-0.007155
0.0210,-0.007155
0.0212,-0.007155
0.0214,-0.007154
0.0216,-0.007155
0.0218,-0.007155
0.0219,-0.007155
0.0221,-0.007154
0.0223,-0.007154
0.0225,-0.007155
0.0227,-0.007155
0.0229,-0.007154
0.0231,-0.007154
0.0395,-0.007154
0.0897,-0.007154
0.1405,-0.007154
0.1905,-0.007154
0.2406,-0.007154
0.2912,-0.007154
0.3416,-0.007154
0.3916,-0.007154
0.4419,-0.007155
0.4922,-0.007155
0.5425,-0.007154
0.5929,-0.007154
0.6434,-0.007154
0.6936,-0.007154
0.7435,-0.007155
0.7938,-0.007155
0.8440,-0.007155
0.8945,-0.007155
0.9446,-0.007155
0.9950,-0.007155
1.0453,-0.007155
1.0956,-0.007155
1.1457,-0.007155
1.1959,-0.007155
1.2464,-0.007155
1.2968,-0.007155
1.3469,-0.007155
1.3972,-0.007155
1.4474,-0.007155
1.4979,-0.007155
1.5480,-0.007154
1.5985,-0.007155
1.6490,-0.007155
1.6988,-0.007155
1.7493,-0.007154
1.7995,-0.007154
1.8499,-0.007155
1.9003,-0.007155
1.9502,-0.007154
2.0008,-0.007154
2.0511,-0.007154
2.1014,-0.007154
2.1513,-0.007155
2.2019,-0.007155
2.2519,-0.007155
2.3024,-0.007154
2.3524,-0.007154
2.4031,-0.007154
2.4535,-0.007154
2.5033,-0.007154
2.5536,-0.007154
2.6039,-0.007154
2.6541,-0.007154
2.7044,-0.007154
2.7547,-0.007155
2.8050,-0.007155
2.8552,-0.007155
2.9056,-0.007154
2.9560,-0.007154
3.0063,-0.007154
3.0565,-0.007155
3.1067,-0.007155
3.1570,-0.007154
3.2073,-0.007154
3.2575,-0.007154
3.3082,-0.007155
3.3581,-0.007154
3.4085,-0.007154
3.4587,-0.007154
3.5094,-0.007154
3.5592,-0.007154
3.6098,-0.007154
3.6600,-0.007155
3.7102,-0.007155
3.7603,-0.007155
3.8106,-0.007155
3.8608,-0.007154
3.9112,-0.007154
3.9614,-0.007155
4.0119,-0.007155
4.0622,-0.007155
4.1124,-0.007155
4.1625,-0.007154
4.2129,-0.007154
4.2632,-0.007154
4.3138,-0.007154
4.3638,-0.007155
4.4141,-0.007155
4.4645,-0.007155
4.5147,-0.007155
4.5649,-0.007155
4.6152,-0.007155
4.6655,-0.007154
4.7156,-0.007154
4.7662,-0.007154
4.8161,-0.007154
4.8664,-0.007154
4.9169,-0.007154
4.9670,-0.007154
5.0174,-0.007154
5.0678,-0.007154
5.1179,-0.007154
5.1686,-0.007154
5.2185,-0.007154
5.2689,-0.007155
5.3194,-0.007155
5.3701,-0.007154
5.4197,-0.007155
5.4700,-0.007154
5.5205,-0.007154
5.5708,-0.007154
5.6208,-0.007154
5.6709,-0.007154
5.7213,-0.007154
5.7718,-0.007155
5.8220,-0.007155
5.8722,-0.007155
5.9228,-0.007154
5.9731,-0.007154
6.0232,-0.007155
6.0735,-0.007155
6.1234,-0.007155
6.1739,-0.007155
6.2251,-0.007155
6.2743,-0.007155
6.3247,-0.007155
6.3752,-0.007154
6.4256,-0.007154
6.4757,-0.007155
6.5258,-0.007155
6.5761,-0.007155
6.6264,-0.007155
6.6768,-0.007154
6.7268,-0.007154
6.7771,-0.007155
6.8276,-0.007155
6.8776,-0.007155
6.9281,-0.007155
6.9784,-0.007155
7.0288,-0.007155
7.0788,-0.007154
7.1291,-0.007155
7.1794,-0.007155
7.2297,-0.007155
7.2799,-0.007155
7.3304,-0.007155
7.3805,-0.007155
7.4308,-0.007155
7.4813,-0.007155
7.5314,-0.007155
7.5816,-0.007155
7.6319,-0.007155
7.6821,-0.007154
7.7326,-0.007154
7.7828,-0.007154
7.8332,-0.007155
7.8835,-0.007155
7.9337,-0.007155
7.9842,-0.007155
8.0342,-0.007154
8.0845,-0.007154
8.1347,-0.007154
8.1853,-0.007154
8.2353,-0.007154
8.2857,-0.007155
8.3358,-0.007155
8.3866,-0.007154
8.4365,-0.007154
8.4871,-0.007154
8.5370,-0.007155
8.5876,-0.007155
8.6375,-0.007155
8.6878,-0.007155
8.7380,-0.007155
8.7884,-0.007155
8.8387,-0.007155
8.8890,-0.007155
8.9392,-0.007155
8.9897,-0.007155
9.0400,-0.007155
9.0900,-0.007155
9.1403,-0.007155
9.1909,-0.007154
9.2409,-0.007154
9.2916,-0.007154
9.3420,-0.007154
9.3925,-0.007154
9.4421,-0.007154
9.4922,-0.007154
9.5426,-0.007154
9.5929,-0.007154
9.6431,-0.007154
9.6933,-0.007155
9.7438,-0.007155
9.7941,-0.007155
9.8445,-0.007155
9.8945,-0.007155
9.9452,-0.007155
9.9951,-0.007155
10.0458,-0.007155
10.0956,-0.007155
10.1460,-0.007154
10.1962,-0.007154
10.2465,-0.007154
10.2968,-0.007154
10.3472,-0.007154
10.3973,-0.007154
10.4476,-0.007154
10.4979,-0.007154
10.5482,-0.007154
10.5986,-0.007154
10.6490,-0.007154
10.6996,-0.007155
10.7494,-0.007155
