Time (s), TIVA Raw
0.00054, -0.005089477636
0.00271, -0.00505788892
0.004674, -0.004975132761
0.006661, -0.004823372001
0.008474, -0.004630937474
0.010924, -0.004469736305
0.013228, -0.004343250184
0.015509, -0.004224155564
0.01797, -0.004099743383
0.019811, -0.004001056368
0.021594, -0.004025169183
0.024004, -0.00416282739
0.026103, -0.004317476123
0.028824, -0.004456313036
0.030784, -0.004572762991
0.032868, -0.004672321084
0.035246, -0.004760741722
0.037072, -0.004830134567
0.043977, -0.004894468002
0.046146, -0.004910879652
0.049055, -0.004947026027
0.051781, -0.004995725467
0.05398, -0.005033286288
0.056238, -0.005055540241
0.058096, -0.005073171924
0.059926, -0.005086829769
0.06173, -0.005096006789
0.064091, -0.005105070304
0.066613, -0.005110912025
0.068508, -0.005115130334
0.070298, -0.005119129201
0.07211, -0.005121053546
0.074556, -0.005121527356
0.076947, -0.00512220955
0.078876, -0.005122942384
0.080811, -0.005121369031
0.082794, -0.005120357964
0.084874, -0.005119097186
0.087559, -0.005116776447
0.134777, -0.005115728127
0.186727, -0.005114607629
0.238645, -0.005113757215
0.291086, -0.005114632659
0.343532, -0.005116120447
0.395314, -0.00511529739
0.447461, -0.005113963853
0.499489, -0.00511186372
0.551486, -0.005107844481
0.603591, -0.005105320015
0.655874, -0.005103907315
0.708144, -0.005108631449
0.760236, -0.005106376484
0.812262, -0.005097877001
0.8645, -0.00509696838
0.916488, -0.005096108071
0.968673, -0.00509634905
1.020819, -0.005097288522
1.073193, -0.005096030072
1.124908, -0.005059875548
1.177269, -0.004973244504
1.229389, -0.004824129574
1.281645, -0.004629448522
1.333649, -0.00446461112
1.386036, -0.004342275206
1.438073, -0.004225788289
1.489973, -0.004103760584
1.542141, -0.004013915022
1.594262, -0.004047264229
1.646433, -0.004185553989
1.698482, -0.004336346756
1.750801, -0.004470535787
1.803207, -0.004581438261
1.854927, -0.00467875303
1.907082, -0.004764987971
1.959328, -0.00482898904
2.011668, -0.004868299875
2.06348, -0.004892576253
2.115489, -0.004908997798
2.167706, -0.004942475935
2.219884, -0.004990046145
2.272413, -0.005027906154
2.324178, -0.005052668275
2.376484, -0.00506834127
2.428308, -0.005078890827
2.480576, -0.005089041661
2.532489, -0.005098441034
2.584805, -0.005103559233
2.637103, -0.005108099431
2.689134, -0.005112348008
2.741207, -0.005114221131
2.793828, -0.005114785163
2.845577, -0.00511396036
2.898291, -0.005108395708
2.95001, -0.005104375887
3.002327, -0.005107580801
3.054266, -0.005109696649
3.1063, -0.005109726335
3.158181, -0.005110204802
3.210351, -0.005110385828
3.262721, -0.005110166967
3.314798, -0.005110242637
3.367, -0.00511062739
3.419184, -0.005108477781
3.471011, -0.005106501048
3.523408, -0.005106424214
3.575622, -0.005105621531
3.627625, -0.005104470183
3.679635, -0.00510338461
3.731759, -0.005102633731
3.783762, -0.005101355491
3.836181, -0.005100551061
3.888516, -0.005100460839
3.940256, -0.005100218696
3.992674, -0.005102489376
4.044563, -0.005105188466
4.097136, -0.005104829907
4.14886, -0.005065628793
4.201321, -0.004972282331
4.2533, -0.004813246196
4.305312, -0.004616757797
4.357571, -0.004459302872
4.40971, -0.004346006026
4.461628, -0.004224851728
4.513941, -0.00409088243
4.566312, -0.004010019475
4.618254, -0.004053952289
4.670023, -0.00419474527
4.722166, -0.004344215267
4.774302, -0.004479193594
4.82658, -0.004595362407
4.87862, -0.004695252865
4.930831, -0.004783881013
4.983172, -0.004840274924
5.035082, -0.004869091499
5.087207, -0.004893825972
5.139273, -0.004912598524
5.191403, -0.004946232657
5.243567, -0.0049941201
5.295868, -0.005029916647
5.347885, -0.005052623455
5.400222, -0.005081796553
5.45222, -0.005091621424
5.504477, -0.005085273879
5.55665, -0.005092373467
5.608497, -0.005098794936
5.660853, -0.005104143638
5.713285, -0.005109487101
5.764867, -0.005112941726
5.817337, -0.005114109954
