Timestamp,Elapsed_Time,Vdif,Va,Vb,Temperatura_C,Compensacion,Iexc
2025-12-04 12:19:28,0.028,0.0169200,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.080,0.0169196,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.133,0.0169191,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.185,0.0169189,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.237,0.0169186,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.289,0.0169182,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.341,0.0169182,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.393,0.0169183,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.445,0.0169173,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.498,0.0169176,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.550,0.0169192,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.602,0.0169196,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.654,0.0169197,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.706,0.0169196,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.758,0.0169195,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.811,0.0169194,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.863,0.0169189,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.915,0.0169161,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,0.967,0.0169160,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:29,1.019,0.0169189,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.071,0.0169192,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.123,0.0169187,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.176,0.0169183,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.227,0.0169182,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.280,0.0169181,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.332,0.0169175,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.384,0.0169173,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.436,0.0169165,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.488,0.0169169,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.540,0.0169179,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:19:30,1.593,0.0169176,0.0,0.00000000,30.28,0.000000,0.000000
