ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-27 12:34:08

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000048
total_histeresis_area_w_FP,0.000047
total_histeresis_area_keithley,0.000050
num_cycles_analyzed,1
average_area_per_cycle,0.000048
average_area_per_cycle_w_FP,0.000047
average_area_per_cycle_keithley,0.000050
cycle_areas,['0.000048']
cycle_areas_w_FP,['0.000047']
cycle_areas_keithley,['0.000050']

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
1,Subida,,0.0,,-0.007230,TIVA Raw
1,Subida,,3.5,,0.007839,TIVA Raw
1,Subida,,6.5,,0.020696,TIVA Raw
1,Subida,,6.8,,0.021977,TIVA Raw
1,Subida,,0.0,-0.007230,,TIVA Filtrado
1,Subida,,3.5,0.007839,,TIVA Filtrado
1,Subida,,6.5,0.020696,,TIVA Filtrado
1,Subida,,6.8,0.021977,,TIVA Filtrado
1,Subida,-0.007300,0.0,,,KEITHLEY
1,Subida,0.007900,3.5,,,KEITHLEY
1,Subida,0.020870,6.5,,,KEITHLEY
1,Subida,0.022160,6.8,,,KEITHLEY
1,Bajada,,0.0,,-0.007220,TIVA Raw
1,Bajada,,3.5,,0.007835,TIVA Raw
1,Bajada,,6.5,,0.020683,TIVA Raw
1,Bajada,,0.0,-0.007220,,TIVA Filtrado
1,Bajada,,3.5,0.007835,,TIVA Filtrado
1,Bajada,,6.5,0.020683,,TIVA Filtrado
1,Bajada,-0.007290,0.0,,,KEITHLEY
1,Bajada,0.007910,3.5,,,KEITHLEY
1,Bajada,0.020870,6.5,,,KEITHLEY

DATOS DE HISTÉRESIS (Interpolados)
Bajada (V),Bajada (V) w/ FP,Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida (V) w/ FP,Subida KEITHLEY (V),Tipo
-0.007220,-0.007220,-0.007290,1,-0.000009,Histéresis,0.0,-0.007230,-0.007230,-0.007300,Histéresis
0.007835,0.007835,0.007910,1,0.000004,Histéresis,3.5,0.007839,0.007839,0.007900,Histéresis
0.020683,0.020683,0.020870,1,0.000013,Histéresis,6.5,0.020696,0.020696,0.020870,Histéresis

FIN DEL ARCHIVO
