ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-27 13:02:34

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000262
total_histeresis_area_w_FP,0.000258
total_histeresis_area_keithley,0.000092
num_cycles_analyzed,2
average_area_per_cycle,0.000131
average_area_per_cycle_w_FP,0.000129
average_area_per_cycle_keithley,0.000046
cycle_areas,"['0.000122', '0.000140']"
cycle_areas_w_FP,"['0.000120', '0.000138']"
cycle_areas_keithley,"['0.000042', '0.000050']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
Bajada (V),Bajada (V) w/ FP,Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida (V) w/ FP,Subida KEITHLEY (V),Tipo
0.007243,0.007243,0.007310,1,0.000000,Histéresis,0.0,0.007243,0.007243,0.007310,Histéresis
0.002935,0.002935,0.002950,1,-0.000012,Histéresis,1.0,0.002922,0.002922,0.002950,Histéresis
-0.001383,-0.001383,-0.001400,1,-0.000015,Histéresis,2.0,-0.001398,-0.001398,-0.001400,Histéresis
-0.005690,-0.005691,-0.005750,1,-0.000011,Histéresis,3.0,-0.005700,-0.005700,-0.005770,Histéresis
-0.010001,-0.010002,-0.010100,1,-0.000025,Histéresis,4.0,-0.010026,-0.010026,-0.010110,Histéresis
-0.014294,-0.014294,-0.014440,1,-0.000034,Histéresis,5.0,-0.014328,-0.014328,-0.014450,Histéresis
-0.018589,-0.018589,-0.018780,1,-0.000033,Histéresis,6.0,-0.018622,-0.018621,-0.018780,Histéresis
-0.020761,-0.020761,-0.020950,1,0.000001,Histéresis,6.5,-0.020760,-0.020760,-0.020940,Histéresis
0.007243,0.007243,0.007310,2,0.000001,Histéresis,0.0,0.007244,0.007244,0.007310,Histéresis
0.002941,0.002941,0.002950,2,-0.000017,Histéresis,1.0,0.002924,0.002924,0.002940,Histéresis
-0.001380,-0.001381,-0.001400,2,-0.000014,Histéresis,2.0,-0.001395,-0.001395,-0.001400,Histéresis
-0.005695,-0.005696,-0.005750,2,-0.000016,Histéresis,3.0,-0.005712,-0.005712,-0.005760,Histéresis
-0.009999,-0.009999,-0.010100,2,-0.000029,Histéresis,4.0,-0.010028,-0.010028,-0.010110,Histéresis
-0.014294,-0.014295,-0.014450,2,-0.000035,Histéresis,5.0,-0.014329,-0.014329,-0.014460,Histéresis
